participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,0,33,48,27,4,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,-1,0,1,1,1,1,0,1,0,1,1,-1,0,1,0,1,1,0,-1,0,1,1,0,-1,1,,0,0,1,,,,,,,,,,,,
1,1,0,33,28,5,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,34,26,4,1,1,1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,0,1,0,-1,0,1,1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,35,23,5,1,1,1,1,-1,1,1,1,1,-1,1,1,0,-1,0,1,1,1,1,0,1,1,0,-1,1,1,1,0,1,-1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,0,33,21,6,1,0,1,1,0,-1,-1,0,1,-1,1,1,0,-1,0,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,0,34,20,6,1,0,1,0,1,1,1,1,-1,0,0,-1,0,1,0,1,1,-1,1,1,-1,1,0,-1,1,-1,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,35,12,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,34,29,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,0,39,30,4,1,1,1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,-1,0,1,1,1,1,,-1,1,,,,,,,,,,,,,,,,,,,,,
9,1,0,13,9,4,1,1,-1,-1,,,,,,,,1,,,1,,,-1,,,1,1,1,-1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,0,34,25,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,0,35,19,4,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,-1,1,0,0,0,1,1,1,-1,-1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1,35,24,6,1,1,-1,1,1,1,1,-1,1,0,1,0,1,-1,-1,1,-1,1,1,1,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,36,13,11,1,1,-1,-1,0,0,0,1,-1,0,1,-1,0,-1,-1,1,0,-1,1,0,-1,-1,0,1,1,1,0,1,0,1,-1,0,0,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,0,16,0,0,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,3,39,20,15,1,-1,-1,-1,-1,0,1,1,1,-1,1,1,-1,-1,1,-1,0,-1,1,1,-1,0,1,1,1,-1,-1,1,1,1,1,-1,-1,1,-1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,
17,0,0,48,23,25,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,,-1,-1,-1,,,,,,,,,,,,
18,1,0,41,20,6,1,1,-1,0,0,1,1,0,1,0,0,-1,0,1,0,1,1,1,0,1,1,1,-1,-1,0,0,0,1,1,-1,0,1,1,1,1,1,-1,1,0,,,,0,0,,,,,,,,,,,,,,,,,
19,0,1,40,8,7,0,0,0,1,0,1,0,0,0,0,1,0,0,-1,1,0,0,0,-1,0,-1,0,1,0,0,-1,-1,0,0,0,0,0,0,1,0,1,-1,0,-1,1,,,,,,,,,,,,,,,,,,,,,
20,0,0,29,11,2,,0,,1,0,0,0,0,,-1,1,1,1,0,,0,,,1,1,-1,0,1,1,0,0,1,0,,,0,,1,1,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,
21,,0,6,3,2,1,,,0,,,,,,,,-1,,,1,,,,1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,40,9,7,1,-1,0,1,0,0,1,0,0,-1,1,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,1,0,-1,0,1,0,0,0,0,0,1,0,1,1,-1,0,,,,,,,,,,,,,,,,,,,,,
23,0,0,40,21,12,1,-1,1,1,0,0,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,0,1,1,1,-1,0,1,1,0,-1,0,-1,-1,0,,,,,,,,,,,,,,,,,,,,,
24,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
25,1,0,14,11,0,1,,,1,,0,,,0,1,1,,,,,,,,1,,,,1,1,,,,1,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,0,40,19,1,1,0,1,0,0,1,0,1,0,0,1,1,0,-1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
27,1,0,14,8,3,1,1,,-1,0,0,,,,,,,0,1,,,1,,,,,1,,,-1,,,,,,1,1,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,
28,1,0,40,28,8,1,1,-1,-1,-1,1,0,1,0,-1,1,1,0,1,1,1,1,-1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,
29,0,0,51,29,20,1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,0,,-1,0,1,-1,1,1,,,,,,,,,
30,0,0,40,10,9,0,1,0,0,-1,-1,0,1,0,1,1,-1,-1,0,0,1,-1,-1,1,0,0,0,1,1,1,0,0,1,0,0,0,-1,0,0,0,0,-1,0,-1,0,,,,,,,,,,,,,,,,,,,,,
31,0,0,40,21,7,1,-1,1,1,0,-1,1,1,0,-1,1,1,0,-1,0,1,0,0,1,1,-1,0,1,1,0,1,0,1,1,1,1,-1,1,1,0,1,0,0,-1,1,,,,,,,,,,,,,,,,,,,,,
32,1,0,40,30,8,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,
33,0,0,11,5,2,1,,,1,0,,,,,,,,1,,,,0,-1,,1,,,0,,1,,,,,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,0,40,14,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,-1,0,,,,,,,,,,,,,,,,,,,,,
35,,0,1,1,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,0,40,23,9,1,1,-1,-1,-1,-1,1,0,1,1,1,-1,0,-1,0,1,-1,-1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,-1,1,,,,,,,,,,,,,,,,,,,,,
37,0,2,42,20,11,1,0,-1,1,-1,1,1,1,0,-1,1,0,0,1,0,1,-1,-1,1,1,-1,-1,1,1,1,1,0,0,1,0,0,0,0,-1,-1,-1,1,1,-1,1,1,1,,,,,,,,,,,,,,,,,,,
38,0,0,42,15,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,-1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,
39,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
40,,0,4,0,0,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,0,16,7,3,,0,0,1,,,,,1,,0,,-1,,,,1,,,0,1,,,0,0,,,1,-1,,,-1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,42,22,16,-1,-1,-1,1,0,1,1,1,-1,-1,-1,1,0,-1,1,1,0,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,
43,0,0,42,8,7,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,0,1,1,0,0,0,0,1,0,-1,0,0,0,-1,1,-1,-1,0,-1,0,,,,,,,,,,,,,,,,,,,
44,1,0,42,19,5,1,1,0,1,0,0,0,0,-1,1,1,1,0,0,0,1,0,1,0,1,1,-1,0,0,0,1,1,0,1,1,1,1,1,1,0,-1,-1,-1,0,0,1,0,,,,,,,,,,,,,,,,,,,
45,0,0,42,15,17,1,0,-1,0,0,-1,-1,1,-1,-1,1,0,0,-1,1,1,-1,-1,1,0,-1,-1,1,1,1,-1,1,1,0,1,-1,-1,-1,-1,0,-1,1,0,-1,1,1,0,,,,,,,,,,,,,,,,,,,
46,,0,4,0,0,,,0,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
47,1,1,43,29,6,1,1,1,0,1,1,1,0,1,1,-1,0,0,-1,-1,1,-1,-1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,,,,,,,,,,,,,,,,,,
48,1,0,43,33,4,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,-1,0,1,-1,0,1,1,1,,,,,,,,,,,,,,,,,,
49,1,6,49,17,2,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,1,1,0,0,0,0,-1,0,0,1,1,1,1,1,1,,,,,,,,,,,,
50,0,0,48,24,3,1,0,0,1,1,1,1,0,0,0,-1,1,0,1,0,0,0,-1,1,1,0,0,1,0,1,0,1,1,1,1,0,-1,1,1,0,1,1,1,0,1,1,1,1,0,0,,0,0,0,,,,,,,,,,,,
51,0,0,48,7,9,1,0,0,1,0,0,0,0,0,-1,-1,1,-1,-1,0,0,0,-1,1,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,1,-1,-1,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
